date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:09	36563/36563	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2007:47:32%20GMT	https://nalcomet.com/management-team/	C:/My%20Web%20Sites/management%20eam/nalcomet.com/management-team/index.html	(from )
12:25:11	166/166	---M-Z	200	added ('OK')	text/plain	date:Sun,%2004%20Aug%202024%2011:25:08%20GMT	https://nalcomet.com/robots.txt		(from )
12:25:12	98054/98054	---M-Z	200	added ('OK')	application/javascript	etag:%2217f06-61ddf82647f26-gzip%22	https://cdn-cookieyes.com/client_data/f81df42fee0a82d5f8481f18/script.js	C:/My%20Web%20Sites/management%20eam/cdn-cookieyes.com/client_data/f81df42fee0a82d5f8481f18/script.js	(from https://nalcomet.com/management-team/)
12:25:13	109990/109990	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2001:35:23%20GMT	https://nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-header-wp-block-library.min.css	C:/My%20Web%20Sites/management%20eam/nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-header-wp-block-library.min.css	(from https://nalcomet.com/management-team/)
12:25:14	27796/27796	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2001:35:23%20GMT	https://nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-header-nalcomet-style1.0.0.min.css	C:/My%20Web%20Sites/management%20eam/nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-header-nalcomet-style1.0.0.min.css	(from https://nalcomet.com/management-team/)
12:25:15	4674/4674	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Aug%202024%2011:25:15%20GMT	https://use.typekit.net/zbd5doe.css	C:/My%20Web%20Sites/management%20eam/use.typekit.net/zbd5doe.css	(from https://nalcomet.com/management-team/)
12:25:17	87554/87554	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Nov%202023%2001:35:23%20GMT	https://nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-header-jquery-core3.7.1.min.js	C:/My%20Web%20Sites/management%20eam/nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-header-jquery-core3.7.1.min.js	(from https://nalcomet.com/management-team/)
12:25:17	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Nov%202023%2001:35:23%20GMT	https://nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-header-jquery-migrate3.4.1.min.js	C:/My%20Web%20Sites/management%20eam/nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-header-jquery-migrate3.4.1.min.js	(from https://nalcomet.com/management-team/)
12:25:18	9495/9495	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202023%2011:24:30%20GMT	https://nalcomet.com/wp-content/uploads/2022/11/nalcomet_logo@2x-8-150x150.png	C:/My%20Web%20Sites/management%20eam/nalcomet.com/wp-content/uploads/2022/11/nalcomet_logo@2x-8-150x150.png	(from https://nalcomet.com/management-team/)
12:25:19	8832/8832	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202023%2011:24:31%20GMT	https://nalcomet.com/wp-content/uploads/2022/11/nalcomet_logo@2x-8.png	C:/My%20Web%20Sites/management%20eam/nalcomet.com/wp-content/uploads/2022/11/nalcomet_logo@2x-8.png	(from https://nalcomet.com/management-team/)
12:25:20	2950/2950	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Nov%202023%2000:21:55%20GMT	https://nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-footer-nalcomet-navigation1.0.0.min.js	C:/My%20Web%20Sites/management%20eam/nalcomet.com/wp-content/cache/wpo-minify/1699402914/assets/wpo-minify-footer-nalcomet-navigation1.0.0.min.js	(from https://nalcomet.com/management-team/)
12:25:21	5/5	---M--	200	added ('OK')	text/css	etag:%226625138e-5%22	https://p.typekit.net/p.css?s=1&k=zbd5doe&ht=tk&f=30027.30028.30029.30030.30033.30034&a=85628100&app=typekit&e=css	C:/My%20Web%20Sites/management%20eam/p.typekit.net/pc61e.css	(from https://use.typekit.net/zbd5doe.css)
12:25:21	22444/22444	---M--	200	added ('OK')	application/font-woff2	etag:%224223ba63432fa5551763e488061b94ad76ad75c2%22	https://use.typekit.net/af/0c0905/00000000000000003b9ae392/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/0c0905/00000000000000003b9ae392/27/le196	(from https://use.typekit.net/zbd5doe.css)
12:25:23	25412/25412	---M--	200	added ('OK')	application/font-woff	etag:%224223ba63432fa5551763e488061b94ad76ad75c2%22	https://use.typekit.net/af/0c0905/00000000000000003b9ae392/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/0c0905/00000000000000003b9ae392/27/de196	(from https://use.typekit.net/zbd5doe.css)
12:25:23	45416/45416	---M-Z	200	added ('OK')	font/opentype	etag:W/%224223ba63432fa5551763e488061b94ad76ad75c2%22	https://use.typekit.net/af/0c0905/00000000000000003b9ae392/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/0c0905/00000000000000003b9ae392/27/ae196	(from https://use.typekit.net/zbd5doe.css)
12:25:23	23652/23652	---M--	200	added ('OK')	application/font-woff2	etag:%22ee057ef518fd10373b7b4aa9ef4677d61ac7ce5e%22	https://use.typekit.net/af/2dba1c/00000000000000003b9ae393/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/2dba1c/00000000000000003b9ae393/27/lfdcc	(from https://use.typekit.net/zbd5doe.css)
12:25:24	27112/27112	---M--	200	added ('OK')	application/font-woff	etag:%22ee057ef518fd10373b7b4aa9ef4677d61ac7ce5e%22	https://use.typekit.net/af/2dba1c/00000000000000003b9ae393/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/2dba1c/00000000000000003b9ae393/27/dfdcc	(from https://use.typekit.net/zbd5doe.css)
12:25:25	47328/47328	---M-Z	200	added ('OK')	font/opentype	etag:W/%22ee057ef518fd10373b7b4aa9ef4677d61ac7ce5e%22	https://use.typekit.net/af/2dba1c/00000000000000003b9ae393/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/2dba1c/00000000000000003b9ae393/27/afdcc	(from https://use.typekit.net/zbd5doe.css)
12:25:25	21680/21680	---M--	200	added ('OK')	application/font-woff2	etag:%228813e391b576373ab7813210bcd99ad8102be135%22	https://use.typekit.net/af/3ccb81/00000000000000003b9ae394/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/3ccb81/00000000000000003b9ae394/27/le003	(from https://use.typekit.net/zbd5doe.css)
12:25:25	24828/24828	---M--	200	added ('OK')	application/font-woff	etag:%228813e391b576373ab7813210bcd99ad8102be135%22	https://use.typekit.net/af/3ccb81/00000000000000003b9ae394/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/3ccb81/00000000000000003b9ae394/27/de003	(from https://use.typekit.net/zbd5doe.css)
12:25:26	45588/45588	---M-Z	200	added ('OK')	font/opentype	etag:W/%228813e391b576373ab7813210bcd99ad8102be135%22	https://use.typekit.net/af/3ccb81/00000000000000003b9ae394/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/3ccb81/00000000000000003b9ae394/27/ae003	(from https://use.typekit.net/zbd5doe.css)
12:25:26	23888/23888	---M--	200	added ('OK')	application/font-woff2	etag:%22d6c1bbf43b9ed2689b39cbe66c65a15b21140823%22	https://use.typekit.net/af/929345/00000000000000003b9ae395/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i5&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/929345/00000000000000003b9ae395/27/laf99	(from https://use.typekit.net/zbd5doe.css)
12:25:27	26948/26948	---M--	200	added ('OK')	application/font-woff	etag:%22d6c1bbf43b9ed2689b39cbe66c65a15b21140823%22	https://use.typekit.net/af/929345/00000000000000003b9ae395/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i5&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/929345/00000000000000003b9ae395/27/daf99	(from https://use.typekit.net/zbd5doe.css)
12:25:27	47444/47444	---M-Z	200	added ('OK')	font/opentype	etag:W/%22d6c1bbf43b9ed2689b39cbe66c65a15b21140823%22	https://use.typekit.net/af/929345/00000000000000003b9ae395/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i5&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/929345/00000000000000003b9ae395/27/aaf99	(from https://use.typekit.net/zbd5doe.css)
12:25:27	22456/22456	---M--	200	added ('OK')	application/font-woff2	etag:%22a67038b5714435c5ebb20e2eb01bb125f3575079%22	https://use.typekit.net/af/ab8655/00000000000000003b9ae398/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/ab8655/00000000000000003b9ae398/27/l652f	(from https://use.typekit.net/zbd5doe.css)
12:25:27	25312/25312	---M--	200	added ('OK')	application/font-woff	etag:%22a67038b5714435c5ebb20e2eb01bb125f3575079%22	https://use.typekit.net/af/ab8655/00000000000000003b9ae398/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/ab8655/00000000000000003b9ae398/27/d652f	(from https://use.typekit.net/zbd5doe.css)
12:25:28	45464/45464	---M-Z	200	added ('OK')	font/opentype	etag:W/%22a67038b5714435c5ebb20e2eb01bb125f3575079%22	https://use.typekit.net/af/ab8655/00000000000000003b9ae398/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/ab8655/00000000000000003b9ae398/27/a652f	(from https://use.typekit.net/zbd5doe.css)
12:25:28	24244/24244	---M--	200	added ('OK')	application/font-woff2	etag:%222cea837c0cda2ce1882676113fc811d5b20f16b1%22	https://use.typekit.net/af/b7c13e/00000000000000003b9ae399/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/b7c13e/00000000000000003b9ae399/27/le265	(from https://use.typekit.net/zbd5doe.css)
12:25:28	27380/27380	---M--	200	added ('OK')	application/font-woff	etag:%222cea837c0cda2ce1882676113fc811d5b20f16b1%22	https://use.typekit.net/af/b7c13e/00000000000000003b9ae399/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/b7c13e/00000000000000003b9ae399/27/de265	(from https://use.typekit.net/zbd5doe.css)
12:25:29	47572/47572	---M-Z	200	added ('OK')	font/opentype	etag:W/%222cea837c0cda2ce1882676113fc811d5b20f16b1%22	https://use.typekit.net/af/b7c13e/00000000000000003b9ae399/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/My%20Web%20Sites/management%20eam/use.typekit.net/af/b7c13e/00000000000000003b9ae399/27/ae265	(from https://use.typekit.net/zbd5doe.css)
